userName,content,score,at,sentiment,clean_text
مستخدم Google,اكو زيادة بأسعار المطاعم الاصلية,3,2025-07-25 14:29:46,neutral,اكو زياده باسعار المطاعم الاصليه
مستخدم Google,ممتاز,5,2025-07-25 14:00:52,positive,ممتاز
مستخدم Google,جيدا جيدا,5,2025-07-25 12:49:51,positive,جيدا جيدا
مستخدم Google,جيد,5,2025-07-25 12:28:31,positive,جيد
مستخدم Google,كلش ممتاز برنامج روعه,5,2025-07-25 11:45:14,positive,كلش ممتاز روعه
مستخدم Google,ممتاز,5,2025-07-25 11:22:11,positive,ممتاز
مستخدم Google,ممتاز,5,2025-07-25 11:19:54,positive,ممتاز
مستخدم Google,سئ جداً توصل طلبيات خاطئة من المطعم والاكل بايت من امس او من الصباح وانت تبا تاكله بالليل مهما تكلمت وعلقت لا يصلحو اخطائهم اهم شي الاكل يوصل بسرعه لكن كيف الاكل مو مهم مسؤلين عن سحب المبالغ فقط,1,2025-07-25 10:09:29,negative,سئ جدا توصل طلبيات خاطئه المطعم والاكل بايت امس الصباح وانت تبا تاكله بالليل تكلمت وعلقت يصلحو اخطائهم اهم شي الاكل يوصل بسرعه الاكل مو مهم مسءلين سحب المبالغ فقط
مستخدم Google,تطبيق جيد جداً 🫡,5,2025-07-25 08:41:54,positive,جيد جدا
مستخدم Google,عايزين خصومااات وعروووض,1,2025-07-25 04:37:51,negative,عايزين خصومااات وعروووض
مستخدم Google,ممتاز جدا,5,2025-07-25 03:48:54,positive,ممتاز جدا
مستخدم Google,👍,5,2025-07-25 03:48:30,positive,
مستخدم Google,ممتاز,5,2025-07-25 03:43:45,positive,ممتاز
مستخدم Google,جيد,5,2025-07-25 02:41:44,positive,جيد
مستخدم Google,شو من اريد اطلب واكتب رقم تلفوني يكلي الرقم غلط مع العلم ان الرقم صحيح ارجو حل المشكلة,3,2025-07-25 02:21:01,neutral,شو اريد اطلب واكتب رقم تلفوني يكلي الرقم غلط العلم ان الرقم صحيح ارجو حل المشكله
مستخدم Google,جيد,4,2025-07-25 02:04:37,positive,جيد
مستخدم Google,لا يوجد به مطاعم مشهورة,1,2025-07-25 01:34:12,negative,يوجد مطاعم مشهوره
مستخدم Google,جيد 👍 ممتاز,5,2025-07-25 01:30:03,positive,جيد ممتاز
مستخدم Google,بدي خصم,5,2025-07-25 01:04:33,positive,بدي خصم
مستخدم Google,كثير واو,5,2025-07-25 01:03:49,positive,كثير
مستخدم Google,prooooo super super service keep it up,5,2025-07-25 00:53:41,positive,
مستخدم Google,مقاطعة,1,2025-07-25 00:42:49,negative,مقاطعه
مستخدم Google,متاز,5,2025-07-25 00:12:56,positive,متاز
مستخدم Google,حلو جدآ,5,2025-07-24 23:02:14,positive,حلو جدا
مستخدم Google,حلوة جدا,5,2025-07-24 22:50:44,positive,حلوه جدا
مستخدم Google,سريع وجيد وممتاز,4,2025-07-24 22:35:32,positive,سريع وجيد وممتاز
مستخدم Google,مش كويسيسس واغلبيت الحاجات مش موجوده,1,2025-07-24 22:17:45,negative,مش كويسيسس واغلبيت الحاجات مش موجوده
مستخدم Google,ماشاء الله تبارك افضل تطبيق في العالم ❤️❤️❤️❤️🔥,5,2025-07-24 22:08:15,positive,ماشاء الله تبارك افضل العالم
مستخدم Google,ممتاز,5,2025-07-24 21:32:11,positive,ممتاز
مستخدم Google,حلو يع,1,2025-07-24 21:23:08,negative,حلو يع
مستخدم Google,اجد التطبيق هذا بستيك خمس نجوم,5,2025-07-24 21:21:23,positive,اجد التطبيق بستيك نجوم
مستخدم Google,ممتاذ,5,2025-07-24 21:16:08,positive,ممتاذ
مستخدم Google,ممتاز,5,2025-07-24 21:10:18,positive,ممتاز
مستخدم Google,ممتااااز,5,2025-07-24 21:08:27,positive,ممتااااز
مستخدم Google,رائع 😍,5,2025-07-24 20:51:29,positive,رائع
مستخدم Google,فتيااات القوه,5,2025-07-24 20:46:09,positive,فتيااات القوه
مستخدم Google,مميز جدا وأتمنا توفير مطاعم يمنيه,4,2025-07-24 20:30:16,positive,مميز جدا واتمنا توفير مطاعم يمنيه
مستخدم Google,ممتاز بارك الله فيك,5,2025-07-24 20:24:02,positive,ممتاز بارك الله فيك
مستخدم Google,ممتاز,5,2025-07-24 20:14:21,positive,ممتاز
مستخدم Google,احلا عالم,5,2025-07-24 20:09:52,positive,احلا عالم
مستخدم Google,رائع💙💙,5,2025-07-24 20:01:19,positive,رائع
مستخدم Google,سيء جدا من حيث العدادات,5,2025-07-24 19:00:33,positive,سيء جدا العدادات
مستخدم Google,ممتاز وتجربة جيدة,5,2025-07-24 18:19:26,positive,ممتاز وتجربه جيده
مستخدم Google,برنامج جميل جدا انصح به الجميع 😍,5,2025-07-24 18:06:18,positive,جميل جدا انصح الجميع
مستخدم Google,التوصيل مجاني من خلال المطاعم وشركه طلبات تاخذ بدل التوصيل,1,2025-07-24 18:01:59,negative,التوصيل مجاني خلال المطاعم وشركه تاخذ بدل التوصيل
مستخدم Google,خدمة العملاء زي العمى,1,2025-07-24 16:54:39,negative,خدمه العملاء زي العمي
مستخدم Google,جيد,5,2025-07-24 16:00:23,positive,جيد
مستخدم Google,احسن تطبيق توصيل,5,2025-07-24 15:56:45,positive,احسن توصيل
مستخدم Google,شكرا لكم,5,2025-07-24 15:56:13,positive,شكرا
مستخدم Google,برنامج رائع,5,2025-07-24 15:12:30,positive,رائع
مستخدم Google,رااااائع,5,2025-07-24 14:57:10,positive,رااااائع
