userName,content,score,at
مستخدم Google,اكو زيادة بأسعار المطاعم الاصلية,3,2025-07-25 14:29:46
مستخدم Google,ممتاز,5,2025-07-25 14:00:52
مستخدم Google,جيدا جيدا,5,2025-07-25 12:49:51
مستخدم Google,جيد,5,2025-07-25 12:28:31
مستخدم Google,كلش ممتاز برنامج روعه,5,2025-07-25 11:45:14
مستخدم Google,ممتاز,5,2025-07-25 11:22:11
مستخدم Google,ممتاز,5,2025-07-25 11:19:54
مستخدم Google,سئ جداً توصل طلبيات خاطئة من المطعم والاكل بايت من امس او من الصباح وانت تبا تاكله بالليل مهما تكلمت وعلقت لا يصلحو اخطائهم اهم شي الاكل يوصل بسرعه لكن كيف الاكل مو مهم مسؤلين عن سحب المبالغ فقط,1,2025-07-25 10:09:29
مستخدم Google,تطبيق جيد جداً 🫡,5,2025-07-25 08:41:54
مستخدم Google,عايزين خصومااات وعروووض,1,2025-07-25 04:37:51
مستخدم Google,ممتاز جدا,5,2025-07-25 03:48:54
مستخدم Google,👍,5,2025-07-25 03:48:30
مستخدم Google,ممتاز,5,2025-07-25 03:43:45
مستخدم Google,جيد,5,2025-07-25 02:41:44
مستخدم Google,شو من اريد اطلب واكتب رقم تلفوني يكلي الرقم غلط مع العلم ان الرقم صحيح ارجو حل المشكلة,3,2025-07-25 02:21:01
مستخدم Google,جيد,4,2025-07-25 02:04:37
مستخدم Google,لا يوجد به مطاعم مشهورة,1,2025-07-25 01:34:12
مستخدم Google,جيد 👍 ممتاز,5,2025-07-25 01:30:03
مستخدم Google,بدي خصم,5,2025-07-25 01:04:33
مستخدم Google,كثير واو,5,2025-07-25 01:03:49
مستخدم Google,prooooo super super service keep it up,5,2025-07-25 00:53:41
مستخدم Google,مقاطعة,1,2025-07-25 00:42:49
مستخدم Google,متاز,5,2025-07-25 00:12:56
مستخدم Google,حلو جدآ,5,2025-07-24 23:02:14
مستخدم Google,حلوة جدا,5,2025-07-24 22:50:44
مستخدم Google,سريع وجيد وممتاز,4,2025-07-24 22:35:32
مستخدم Google,مش كويسيسس واغلبيت الحاجات مش موجوده,1,2025-07-24 22:17:45
مستخدم Google,ماشاء الله تبارك افضل تطبيق في العالم ❤️❤️❤️❤️🔥,5,2025-07-24 22:08:15
مستخدم Google,ممتاز,5,2025-07-24 21:32:11
مستخدم Google,حلو يع,1,2025-07-24 21:23:08
مستخدم Google,اجد التطبيق هذا بستيك خمس نجوم,5,2025-07-24 21:21:23
مستخدم Google,ممتاذ,5,2025-07-24 21:16:08
مستخدم Google,ممتاز,5,2025-07-24 21:10:18
مستخدم Google,ممتااااز,5,2025-07-24 21:08:27
مستخدم Google,رائع 😍,5,2025-07-24 20:51:29
مستخدم Google,فتيااات القوه,5,2025-07-24 20:46:09
مستخدم Google,مميز جدا وأتمنا توفير مطاعم يمنيه,4,2025-07-24 20:30:16
مستخدم Google,ممتاز بارك الله فيك,5,2025-07-24 20:24:02
مستخدم Google,ممتاز,5,2025-07-24 20:14:21
مستخدم Google,احلا عالم,5,2025-07-24 20:09:52
مستخدم Google,رائع💙💙,5,2025-07-24 20:01:19
مستخدم Google,سيء جدا من حيث العدادات,5,2025-07-24 19:00:33
مستخدم Google,ممتاز وتجربة جيدة,5,2025-07-24 18:19:26
مستخدم Google,برنامج جميل جدا انصح به الجميع 😍,5,2025-07-24 18:06:18
مستخدم Google,التوصيل مجاني من خلال المطاعم وشركه طلبات تاخذ بدل التوصيل,1,2025-07-24 18:01:59
مستخدم Google,خدمة العملاء زي العمى,1,2025-07-24 16:54:39
مستخدم Google,جيد,5,2025-07-24 16:00:23
مستخدم Google,احسن تطبيق توصيل,5,2025-07-24 15:56:45
مستخدم Google,شكرا لكم,5,2025-07-24 15:56:13
مستخدم Google,برنامج رائع,5,2025-07-24 15:12:30
مستخدم Google,رااااائع,5,2025-07-24 14:57:10
مستخدم Google,التطبيق ممتاز ولكن بعض العاملين للتوصيل سيئون لايستجيب للاتصال ويلغي الاوردر من نفسه أرجو الدقة في اختيار العاملين وأيضا بعض المطاعم سيئة جدا ودائما عندي مشكلة مع الأوردر منه دائما يأتيني ناقص وعندما تعود لي نقود الأشياء الناقصة لا أستطيع أن أحصل عليها في الطلب التالي لأني ليس عندي فيزا ولكن أشتري بالكاش عند الاستلام أرجو أن يكون هناك حل لهذه المشكلة,5,2025-07-24 14:39:20
مستخدم Google,جميلة,5,2025-07-24 13:54:01
مستخدم Google,تطبيق مريح جدًا,5,2025-07-24 13:12:59
مستخدم Google,من افضل البرامج وسلس وسهل وموجود عليه جميع الاقسام وكل شئ ومن اهم مميزاته متابعة الطلب في الطريق وتحديد موعد وصوله بدقة,5,2025-07-24 12:31:43
مستخدم Google,مو راااااااضي يشتغل 🤔🤔🤔 أرجو تفعيل النمط الليلي the dark mode ارجو التحديث 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,1,2025-07-24 12:24:24
مستخدم Google,جيد بس غالي,2,2025-07-24 12:04:43
مستخدم Google,برنامج ممتاز بس ولله من كم يوم طلبت اشياء و كان الحساب 48 ج و بعد كم يوم طلبت نفس الأشياء و جاني الحساب 84 ج و بي نفس التوقيت تقريبا فما بعرف المشكلة من التلفون ولا التطبيق وبس برنامج حلوا و ممتاز و انصحكم بي,3,2025-07-24 10:14:06
مستخدم Google,متوفر كل شيئ,5,2025-07-24 09:49:45
مستخدم Google,ح،ذاري تطلب بالكر.يد.ت زfت,1,2025-07-24 07:11:02
مستخدم Google,سريييييع التوصيل و مجاني,5,2025-07-24 05:28:02
مستخدم Google,أفضل خدمة توصيل في العراق بغداد,5,2025-07-24 03:26:50
مستخدم Google,شركه وسخه واللمسكنها ناس وسخه انا عملت الغاء للتطبيق الوسخ ده,1,2025-07-24 03:04:51
مستخدم Google,تطبيق جميل جدن,5,2025-07-24 02:25:12
مستخدم Google,كتير منتاز,5,2025-07-24 00:10:30
مستخدم Google,أكثر من ممتاز,5,2025-07-24 00:08:33
مستخدم Google,ممتاز,5,2025-07-23 21:55:30
